ds,y
2020-07-01,55
2020-07-02,35
2020-07-03,36
2020-07-04,22
2020-07-06,60
2020-07-07,41
2020-07-08,25
2020-07-09,40
2020-07-10,40
2020-07-11,33
2020-07-13,49
2020-07-14,27
2020-07-15,33
2020-07-16,42
2020-07-17,46
2020-07-18,15
2020-07-20,47
2020-07-21,26
2020-07-22,21
2020-07-23,27
2020-07-24,46
2020-07-25,48
2020-07-27,59
2020-07-28,46
2020-07-29,118
2020-07-30,9
2020-08-04,53
2020-08-05,53
2020-08-06,46
2020-08-07,49
2020-08-08,25
2020-08-10,50
2020-08-11,38
2020-08-12,34
2020-08-13,8
2020-08-14,18
2020-08-15,7
2020-08-17,33
2020-08-18,40
2020-08-19,20
2020-08-20,14
2020-08-21,12
2020-08-22,13
2020-08-24,18
2020-08-25,46
2020-08-26,25
2020-08-27,20
2020-08-28,24
2020-08-29,6
2020-08-31,36
2020-09-01,16
2020-09-02,28
2020-09-03,11
2020-09-04,20
2020-09-05,7
2020-09-07,12
2020-09-08,23
2020-09-09,36
2020-09-10,44
2020-09-11,21
2020-09-12,12
2020-09-14,28
2020-09-15,22
2020-09-16,36
2020-09-17,42
2020-09-18,35
2020-09-19,16
2020-09-21,38
2020-09-22,30
2020-09-23,34
2020-09-24,16
2020-09-25,22
2020-09-26,21
2020-09-28,41
2020-09-29,35
2020-09-30,68
2020-10-01,22
2020-10-02,17
2020-10-03,21
2020-10-05,36
2020-10-06,23
2020-10-07,17
2020-10-08,23
2020-10-09,53
2020-10-10,38
2020-10-12,38
2020-10-13,31
2020-10-14,52
2020-10-15,32
2020-10-16,31
2020-10-17,19
2020-10-19,36
2020-10-20,70
2020-10-21,21
2020-10-22,22
2020-10-23,20
2020-10-24,29
2020-10-26,20
2020-10-27,32
2020-10-28,29
2020-10-29,88
2020-10-30,48
2020-10-31,43
2020-11-02,22
2020-11-03,19
2020-11-04,23
2020-11-05,14
2020-11-06,17
2020-11-07,31
2020-11-09,37
2020-11-10,26
2020-11-11,65
2020-11-12,30
2020-11-13,39
2020-11-14,32
2020-11-16,41
2020-11-17,20
2020-11-18,31
2020-11-19,37
2020-11-20,24
2020-11-21,21
2020-11-23,39
2020-11-24,24
2020-11-25,124
2020-11-26,51
2020-11-27,34
2020-11-28,25
2020-11-30,80
2020-12-01,33
2020-12-02,36
2020-12-03,22
2020-12-04,16
2020-12-07,35
2020-12-08,34
2020-12-09,27
2020-12-10,33
2020-12-11,33
2020-12-14,32
2020-12-15,28
2020-12-16,18
2020-12-17,30
2020-12-18,28
2020-12-21,51
2020-12-22,30
2020-12-23,44
2020-12-24,34
2020-12-25,31
2020-12-28,37
2020-12-29,38
2020-12-30,34
2020-12-31,26
2021-01-04,12
2021-01-05,8
2021-01-06,10
2021-01-07,9
2021-01-08,24
2021-01-11,15
2021-01-12,12
2021-01-13,25
2021-01-14,8
2021-01-15,27
2021-01-18,22
2021-01-19,17
2021-01-20,19
2021-01-21,22
2021-01-22,11
2021-01-25,19
2021-01-26,25
2021-01-27,16
2021-01-28,20
2021-01-29,77
2021-02-01,23
2021-02-02,19
2021-02-03,19
2021-02-04,39
2021-02-05,27
2021-02-06,3
2021-02-08,23
2021-02-09,22
2021-02-10,14
2021-02-11,19
2021-02-12,22
2021-02-15,26
2021-02-16,10
2021-02-17,24
2021-02-18,19
2021-02-19,16
2021-02-22,28
2021-02-23,20
2021-02-24,24
2021-02-25,19
2021-02-26,102
2021-02-27,1
2021-03-01,14
2021-03-02,15
2021-03-03,8
2021-03-04,7
2021-03-05,10
2021-03-06,29
2021-03-08,27
2021-03-09,21
2021-03-10,23
2021-03-11,23
2021-03-12,29
2021-03-13,11
2021-03-15,26
2021-03-16,42
2021-03-17,16
2021-03-18,10
2021-03-19,20
2021-03-20,20
2021-03-22,25
2021-03-23,20
2021-03-24,22
2021-03-25,12
2021-03-26,22
2021-03-27,13
2021-03-29,23
2021-03-30,32
2021-03-31,54
2021-04-01,12
2021-04-02,12
2021-04-05,23
2021-04-06,10
2021-04-07,17
2021-04-08,19
2021-04-09,16
2021-04-10,1
2021-04-12,14
2021-04-13,18
2021-04-14,19
2021-04-15,17
2021-04-16,6
2021-04-19,14
2021-04-20,19
2021-04-21,19
2021-04-22,9
2021-04-26,19
2021-04-27,24
2021-04-28,12
2021-04-29,16
2021-04-30,2
2021-05-01,1
2021-05-03,4
2021-05-04,4
2021-05-05,6
2021-05-06,3
2021-05-07,4
2021-05-10,11
2021-05-11,6
2021-05-12,1
2021-05-17,43
2021-05-18,27
2021-05-19,30
2021-05-20,27
2021-05-21,34
2021-05-22,1
2021-05-24,32
2021-05-25,28
2021-05-26,23
2021-05-27,37
2021-05-28,34
2021-05-29,9
2021-05-31,58
2021-06-01,28
2021-06-02,17
2021-06-03,8
2021-06-04,20
2021-06-05,4
2021-06-07,10
2021-06-08,9
2021-06-09,9
2021-06-10,5
2021-06-11,25
2021-06-12,11
2021-06-14,11
2021-06-15,37
2021-06-16,11
2021-06-17,15
2021-06-18,11
2021-06-19,20
2021-06-21,27
2021-06-22,23
2021-06-23,29
2021-06-24,16
2021-06-25,23
2021-06-26,28
2021-06-28,21
2021-06-29,21
2021-06-30,58
2021-07-01,17
2021-07-02,10
2021-07-03,8
2021-07-05,5
2021-07-06,3
2021-07-07,20
2021-07-08,10
2021-07-09,21
2021-07-10,25
2021-07-12,24
2021-07-13,16
2021-07-14,49
2021-07-15,27
2021-07-16,28
2021-07-17,32
2021-07-19,11
2021-07-26,61
2021-07-27,59
2021-07-28,24
2021-07-29,26
2021-07-30,15
2021-07-31,52
2021-08-01,1
2021-08-02,21
2021-08-03,9
2021-08-04,15
2021-08-05,14
2021-08-06,23
2021-08-07,12
2021-08-09,40
2021-08-10,19
2021-08-11,20
2021-08-12,36
2021-08-13,32
2021-08-14,24
2021-08-16,22
2021-08-17,11
2021-08-18,22
2021-08-19,16
2021-08-20,17
2021-08-21,25
2021-08-23,26
2021-08-24,10
2021-08-25,26
2021-08-26,23
2021-08-27,16
2021-08-28,12
2021-08-30,19
2021-08-31,28
2021-09-01,29
2021-09-02,28
2021-09-03,30
2021-09-04,22
2021-09-06,26
2021-09-07,18
2021-09-08,29
2021-09-09,20
2021-09-10,23
2021-09-11,25
2021-09-13,41
2021-09-14,16
2021-09-15,40
2021-09-16,24
2021-09-17,24
2021-09-18,15
2021-09-20,34
2021-09-21,24
2021-09-22,39
2021-09-23,54
2021-09-24,31
2021-09-25,20
2021-09-27,27
2021-09-28,35
2021-09-29,31
2021-09-30,93
2021-10-01,20
2021-10-02,12
2021-10-04,14
2021-10-05,9
2021-10-06,17
2021-10-07,9
2021-10-08,22
2021-10-09,25
2021-10-11,26
2021-10-12,16
2021-10-13,27
2021-10-14,29
2021-10-15,23
2021-10-16,28
2021-10-18,31
2021-10-19,42
2021-10-20,33
2021-10-21,27
2021-10-22,27
2021-10-23,22
2021-10-25,30
2021-10-26,38
2021-10-27,45
2021-10-28,56
2021-10-29,47
2021-10-30,33
2021-11-01,11
2021-11-02,12
2021-11-03,12
2021-11-04,7
2021-11-05,22
2021-11-06,10
2021-11-08,8
2021-11-09,21
2021-11-10,23
2021-11-11,14
2021-11-12,8
2021-11-13,14
2021-11-15,26
2021-11-16,20
2021-11-17,22
2021-11-18,19
2021-11-19,13
2021-11-20,19
2021-11-22,15
2021-11-23,21
2021-11-24,17
2021-11-25,26
2021-11-26,28
2021-11-27,15
2021-11-29,12
2021-11-30,8
2021-12-01,16
2021-12-02,10
2021-12-03,9
2021-12-04,8
2021-12-06,19
2021-12-07,11
2021-12-08,5
2021-12-09,7
2021-12-10,8
2021-12-11,17
2021-12-13,28
2021-12-14,11
2021-12-15,18
2021-12-16,18
2021-12-17,16
2021-12-18,5
2021-12-20,14
2021-12-21,4
2021-12-22,6
2021-12-23,3
2021-12-24,6
2021-12-25,14
2021-12-27,10
2021-12-28,5
2021-12-29,7
2021-12-30,5
2021-12-31,4
2022-01-03,6
2022-01-04,16
2022-01-05,9
2022-01-06,3
2022-01-07,21
2022-01-08,10
2022-01-10,13
2022-01-11,9
2022-01-12,7
2022-01-13,12
2022-01-14,4
2022-01-15,13
2022-01-17,11
2022-01-18,21
2022-01-19,7
2022-01-20,15
2022-01-21,12
2022-01-22,30
2022-01-24,29
2022-01-25,14
2022-01-26,11
2022-01-27,20
2022-01-28,21
2022-01-29,8
2022-01-31,38
2022-02-01,11
2022-02-02,6
2022-02-03,3
2022-02-04,10
2022-02-05,6
2022-02-07,11
2022-02-08,6
2022-02-09,13
2022-02-10,25
2022-02-11,6
2022-02-12,9
2022-02-14,8
2022-02-15,13
2022-02-16,7
2022-02-17,8
2022-02-18,6
2022-02-19,6
2022-02-21,10
2022-02-22,23
2022-02-23,31
2022-02-24,21
2022-02-25,25
2022-02-26,22
2022-02-28,81
2022-03-01,16
2022-03-02,3
2022-03-03,5
2022-03-04,9
2022-03-05,12
2022-03-07,11
2022-03-08,11
2022-03-09,10
2022-03-10,3
2022-03-11,14
2022-03-12,10
2022-03-14,8
2022-03-15,11
2022-03-16,10
2022-03-17,7
2022-03-18,32
2022-03-19,8
2022-03-21,24
2022-03-22,11
2022-03-23,22
2022-03-24,16
2022-03-25,9
2022-03-26,17
2022-03-28,14
2022-03-29,18
2022-03-30,18
2022-03-31,37
2022-04-01,10
2022-04-02,11
2022-04-04,10
2022-04-05,5
2022-04-06,16
2022-04-07,21
2022-04-08,6
2022-04-09,10
2022-04-11,13
2022-04-12,15
2022-04-13,11
2022-04-14,15
2022-04-15,16
2022-04-16,12
2022-04-18,8
2022-04-19,12
2022-04-20,16
2022-04-21,18
2022-04-22,15
2022-04-23,10
2022-04-25,24
2022-04-26,28
2022-04-27,26
2022-04-28,31
2022-04-29,31
2022-04-30,49
2022-05-05,9
2022-05-06,9
2022-05-07,4
2022-05-09,5
2022-05-10,11
2022-05-11,12
2022-05-12,9
2022-05-13,13
2022-05-14,30
2022-05-16,16
2022-05-17,25
2022-05-18,14
2022-05-19,29
2022-05-20,19
2022-05-21,13
2022-05-23,33
2022-05-24,16
2022-05-25,33
2022-05-26,29
2022-05-27,21
2022-05-28,7
2022-05-30,5
2022-05-31,34
2022-06-01,12
2022-06-02,9
2022-06-03,6
2022-06-04,10
2022-06-06,13
2022-06-07,19
2022-06-08,11
2022-06-09,72
2022-06-10,14
2022-06-11,8
2022-06-13,13
2022-06-14,24
2022-06-15,36
2022-06-16,20
2022-06-17,8
2022-06-18,18
2022-06-20,14
2022-06-21,48
2022-06-22,20
2022-06-23,32
2022-06-24,26
2022-06-25,46
2022-06-27,24
2022-06-28,23
2022-06-29,33
2022-06-30,73
2022-07-01,18
2022-07-02,13
2022-07-04,9
2022-07-05,22
2022-07-06,20
2022-07-07,39
2022-07-08,13
2022-07-09,1
2022-07-13,34
2022-07-14,29
2022-07-15,32
2022-07-16,34
2022-07-18,34
2022-07-19,34
2022-07-20,32
2022-07-21,30
2022-07-22,36
2022-07-23,40
2022-07-25,44
2022-07-26,26
2022-07-27,56
2022-07-28,55
2022-07-29,38
2022-07-30,38
2022-07-31,1
2022-08-01,24
2022-08-02,32
2022-08-03,43
2022-08-04,26
2022-08-05,22
2022-08-06,29
2022-08-08,59
2022-08-09,43
2022-08-10,45
2022-08-11,24
2022-08-12,159
2022-08-13,21
2022-08-15,46
2022-08-16,56
2022-08-17,46
2022-08-18,46
2022-08-19,47
2022-08-20,33
2022-08-22,45
2022-08-23,43
2022-08-24,58
2022-08-25,44
2022-08-26,35
2022-08-27,42
2022-08-29,51
2022-08-30,38
2022-08-31,150
2022-09-01,25
2022-09-02,34
2022-09-03,33
2022-09-05,36
2022-09-06,39
2022-09-07,52
2022-09-08,35
2022-09-09,44
2022-09-10,42
2022-09-12,49
2022-09-13,40
2022-09-14,59
2022-09-15,53
2022-09-16,35
2022-09-17,35
2022-09-19,66
2022-09-20,58
2022-09-21,19
2022-09-22,116
2022-09-23,64
2022-09-24,44
2022-09-25,1
2022-09-26,61
2022-09-27,93
2022-09-28,56
2022-09-29,57
2022-09-30,82
2022-10-01,15
2022-10-03,67
2022-10-04,20
2022-10-05,38
2022-10-06,63
2022-10-07,53
2022-10-08,33
2022-10-10,66
2022-10-11,49
2022-10-12,37
2022-10-13,47
2022-10-14,66
2022-10-15,34
2022-10-17,84
2022-10-18,65
2022-10-19,25
2022-10-20,63
2022-10-21,79
2022-10-22,32
2022-10-24,52
2022-10-25,74
2022-10-26,69
2022-10-27,67
2022-10-28,47
2022-10-29,45
2022-10-30,1
2022-10-31,110
2022-11-01,31
2022-11-02,32
2022-11-03,46
2022-11-04,47
2022-11-05,20
2022-11-07,40
2022-11-08,35
2022-11-09,26
