,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_renovated,street,city,statezip,country,ratio,estimate_bedrooms
131,210000.0,5.0,2.0,2050.0,10200,1.0,0.0,0.0,3.0,1430.0,620.0,2001.0,20927-20999 2nd Ave S,Des Moines,WA 98198,USA,410.0,3.269537480063796
134,615000.0,4.0,1.75,2300.0,11700,1.0,0.0,0.0,4.0,1960.0,340.0,0.0,18427 NE 26th Way,Redmond,WA 98052,USA,575.0,3.668261562998405
136,487585.0,4.0,1.75,2010.0,9211,1.0,0.0,0.0,3.0,1470.0,540.0,2004.0,13313 127th Pl NE,Kirkland,WA 98034,USA,502.5,3.2057416267942584
137,509900.0,3.0,2.5,1790.0,2700,2.0,0.0,0.0,3.0,1790.0,0.0,0.0,4532 185th Ave SE,Issaquah,WA 98027,USA,596.6666666666666,2.854864433811802
138,631625.0,4.0,2.5,2440.0,6651,2.0,0.0,0.0,3.0,2440.0,0.0,0.0,9288-9358 Holman Rd NW,Seattle,WA 98117,USA,610.0,3.8915470494417863
139,555000.0,3.0,2.5,1940.0,3211,2.0,0.0,0.0,3.0,1940.0,0.0,0.0,4509 185th Ave SE,Issaquah,WA 98027,USA,646.6666666666666,3.094098883572568
140,340000.0,2.0,1.5,1160.0,1438,2.0,0.0,0.0,3.0,1160.0,0.0,0.0,1318 29th Ave S,Seattle,WA 98144,USA,580.0,1.8500797448165869
157,329350.0,2.0,1.0,720.0,6687,1.0,0.0,0.0,3.0,720.0,0.0,1999.0,9712 4th Ave NW,Seattle,WA 98117,USA,360.0,1.1483253588516746
158,488000.0,5.0,2.0,2020.0,5000,1.5,0.0,0.0,4.0,2020.0,0.0,0.0,9020-9024 11th Ave NW,Seattle,WA 98117,USA,404.0,3.221690590111643
159,279900.0,3.0,1.75,1580.0,8151,1.0,0.0,1.0,4.0,1100.0,480.0,0.0,1629 S 261st Pl,Des Moines,WA 98198,USA,526.6666666666666,2.5199362041467306
160,606000.0,4.0,2.5,2110.0,13850,2.0,0.0,0.0,3.0,2110.0,0.0,2000.0,2755 NW Pine Cone Dr,Issaquah,WA 98027,USA,527.5,3.3652312599681022
161,312000.0,4.0,2.0,1300.0,7054,1.0,0.0,0.0,3.0,1300.0,0.0,2013.0,2815 SW 107th St,Seattle,WA 98146,USA,325.0,2.073365231259968
162,650000.0,3.0,1.5,1630.0,7475,1.0,0.0,1.0,3.0,1160.0,470.0,1996.0,6009 52nd Ave NE,Seattle,WA 98115,USA,543.3333333333334,2.5996810207336525
163,1135000.0,4.0,2.75,3370.0,8103,1.0,0.0,3.0,3.0,1970.0,1400.0,2014.0,3922 SW Henderson St,Seattle,WA 98136,USA,842.5,5.374800637958533
164,325000.0,4.0,2.5,1890.0,6156,1.0,0.0,0.0,3.0,980.0,910.0,0.0,5631 17th Ave SW,Seattle,WA 98106,USA,472.5,3.014354066985646
165,425000.0,4.0,2.0,1520.0,7983,1.0,0.0,0.0,5.0,1520.0,0.0,0.0,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA,380.0,2.4242424242424243
166,219000.0,2.0,1.0,900.0,5160,1.0,0.0,0.0,3.0,900.0,0.0,2008.0,8652 17th Ave SW,Seattle,WA 98106,USA,450.0,1.4354066985645932
167,250000.0,3.0,1.0,1050.0,6874,1.0,0.0,0.0,3.0,1050.0,0.0,2005.0,18305 Dayton Ave N,Shoreline,WA 98133,USA,350.0,1.674641148325359
168,390000.0,3.0,1.75,1260.0,6500,1.0,0.0,0.0,4.0,1260.0,0.0,0.0,1415 168th Ave NE,Bellevue,WA 98008,USA,420.0,2.0095693779904304
169,475000.0,6.0,3.0,3470.0,117612,1.5,0.0,0.0,3.0,3470.0,0.0,2011.0,19007 80th Ave NE,Kenmore,WA 98028,USA,578.3333333333334,5.5342902711323765
170,736000.0,4.0,2.5,2290.0,12047,2.0,0.0,0.0,4.0,2290.0,0.0,0.0,17435 SE 47th St,Bellevue,WA 98006,USA,572.5,3.6523125996810206
184,563000.0,4.0,3.0,3100.0,15480,2.0,0.0,0.0,3.0,2400.0,700.0,0.0,7422 NE 163rd St,Kenmore,WA 98028,USA,775.0,4.944178628389155
185,612500.0,4.0,2.0,2060.0,5000,1.0,0.0,0.0,3.0,1030.0,1030.0,2013.0,1708 NW 96th St,Seattle,WA 98117,USA,515.0,3.2854864433811803
186,218000.0,3.0,1.75,1850.0,7684,1.0,0.0,0.0,3.0,1320.0,530.0,2014.0,33945 28th Pl SW,Federal Way,WA 98023,USA,616.6666666666666,2.9505582137161084
187,404000.0,4.0,1.75,1840.0,10720,1.0,0.0,0.0,3.0,960.0,880.0,2004.0,16020 SE 2nd St,Bellevue,WA 98008,USA,460.0,2.934609250398724
188,860000.0,4.0,2.0,3740.0,32417,2.0,0.0,0.0,3.0,3740.0,0.0,0.0,24507 NE 77th Pl,Redmond,WA 98053,USA,935.0,5.964912280701754
189,136500.0,3.0,1.5,1420.0,8580,1.0,0.0,0.0,3.0,1420.0,0.0,2003.0,32827 22nd Ave SW,Federal Way,WA 98023,USA,473.3333333333333,2.2647527910685805
190,313950.0,3.0,1.0,1510.0,6083,1.0,0.0,0.0,4.0,860.0,650.0,2001.0,415 NE 94th St,Seattle,WA 98115,USA,503.3333333333333,2.40829346092504
191,575000.0,3.0,1.75,2130.0,6500,1.0,0.0,2.0,3.0,1170.0,960.0,2005.0,2214 W Halladay St,Seattle,WA 98199,USA,710.0,3.397129186602871
192,1225000.0,4.0,2.25,3490.0,6906,2.0,0.0,0.0,4.0,2280.0,1210.0,0.0,2560 39th Ave W,Seattle,WA 98199,USA,872.5,5.566188197767145
193,280000.0,3.0,1.75,1630.0,11800,1.0,0.0,0.0,4.0,1630.0,0.0,0.0,12525 458th Ave SE,North Bend,WA 98045,USA,543.3333333333334,2.5996810207336525
194,515000.0,3.0,2.5,1790.0,7167,2.0,0.0,0.0,3.0,1790.0,0.0,0.0,920 221st Ave NE,Sammamish,WA 98074,USA,596.6666666666666,2.854864433811802
195,513000.0,4.0,2.5,2000.0,5684,2.0,0.0,0.0,3.0,2000.0,0.0,0.0,9041 NE 160th Pl,Kenmore,WA 98028,USA,500.0,3.189792663476874
196,599000.0,4.0,2.25,2260.0,29930,2.0,0.0,0.0,4.0,1400.0,860.0,0.0,16022 SE 43rd St,Bellevue,WA 98006,USA,565.0,3.6044657097288675
197,685000.0,4.0,2.5,3030.0,7864,2.0,0.0,0.0,3.0,3030.0,0.0,0.0,24201 SE 1st Pl,Sammamish,WA 98074,USA,757.5,4.832535885167464
198,365000.0,3.0,1.5,1310.0,8160,1.0,0.0,0.0,3.0,1310.0,0.0,2005.0,13714 Ashworth Ave N,Seattle,WA 98133,USA,436.6666666666667,2.0893141945773523
199,762300.0,4.0,2.5,3880.0,14550,2.0,0.0,0.0,3.0,3880.0,0.0,2000.0,22344 NE 31st St,Sammamish,WA 98074,USA,970.0,6.188197767145136
200,1580000.0,4.0,3.25,3760.0,10920,1.5,0.0,0.0,5.0,2400.0,1360.0,0.0,5650 NE 55th St,Seattle,WA 98105,USA,940.0,5.996810207336523
201,562000.0,5.0,2.25,3040.0,8111,2.0,0.0,0.0,3.0,3040.0,0.0,0.0,17649 NE 129th Pl,Redmond,WA 98052,USA,608.0,4.848484848484849
202,530000.0,5.0,2.5,2910.0,9636,1.0,0.0,0.0,4.0,1690.0,1220.0,0.0,3250 165th Ave SE,Bellevue,WA 98008,USA,582.0,4.641148325358851
218,499000.0,2.0,1.75,1170.0,2400,1.0,0.0,0.0,4.0,740.0,430.0,0.0,2112 N 50th St,Seattle,WA 98103,USA,585.0,1.8660287081339713
219,1050000.0,3.0,2.5,2200.0,1970,2.0,0.0,0.0,3.0,1610.0,590.0,0.0,2516 Yale Ave E,Seattle,WA 98102,USA,733.3333333333334,3.508771929824561
220,191000.0,3.0,1.5,800.0,8850,1.0,0.0,0.0,4.0,800.0,0.0,0.0,1003 SW 307th St,Federal Way,WA 98023,USA,266.6666666666667,1.2759170653907497
221,500000.0,3.0,2.5,1480.0,1171,3.0,0.0,0.0,3.0,1480.0,0.0,0.0,135 25th Ave E,Seattle,WA 98112,USA,493.3333333333333,2.360446570972887
222,390000.0,5.0,3.75,2890.0,5000,1.0,0.0,0.0,3.0,1310.0,1580.0,0.0,3665 Renton Ave S,Seattle,WA 98144,USA,578.0,4.609250398724083
223,979000.0,3.0,2.5,2690.0,4047,3.0,0.0,0.0,3.0,2690.0,0.0,0.0,7000 23rd Ave NW,Seattle,WA 98117,USA,896.6666666666666,4.290271132376396
224,580000.0,4.0,3.25,3569.0,8327,2.0,0.0,0.0,3.0,3569.0,0.0,1923.0,710 S 23rd St,Renton,WA 98055,USA,892.25,5.692185007974482
225,369950.0,3.0,2.0,1270.0,1320,3.0,0.0,0.0,3.0,1270.0,0.0,0.0,8846 Midvale Ave N,Seattle,WA 98103,USA,423.3333333333333,2.025518341307815
226,1800000.0,5.0,5.0,4490.0,10279,2.0,0.0,0.0,3.0,3930.0,560.0,1923.0,1435 104th Ave SE,Bellevue,WA 98004,USA,898.0,7.161084529505582
227,776000.0,4.0,2.5,3040.0,6425,2.0,0.0,0.0,3.0,3040.0,0.0,0.0,16775 NE 86th Ct,Redmond,WA 98052,USA,760.0,4.848484848484849
228,519950.0,3.0,2.25,1170.0,1249,3.0,0.0,0.0,3.0,1170.0,0.0,0.0,1749 NW 60th St,Seattle,WA 98107,USA,390.0,1.8660287081339713
229,255000.0,5.0,2.25,2060.0,8632,1.0,0.0,0.0,3.0,1030.0,1030.0,2003.0,105 SW 129th St,Burien,WA 98146,USA,412.0,3.2854864433811803
230,495000.0,3.0,1.0,990.0,6000,1.0,0.0,0.0,3.0,990.0,0.0,2002.0,5628 NE 59th St,Seattle,WA 98105,USA,330.0,1.5789473684210527
231,510000.0,4.0,2.5,2430.0,5203,2.0,0.0,0.0,3.0,2430.0,0.0,0.0,1028 NE 153rd Ct,Shoreline,WA 98155,USA,607.5,3.875598086124402
232,1150000.0,4.0,4.0,4460.0,103382,2.0,0.0,0.0,3.0,4460.0,0.0,0.0,25823 NE 30th Ct,Redmond,WA 98053,USA,1115.0,7.113237639553429
233,253000.0,3.0,1.75,1250.0,10122,1.0,0.0,0.0,3.0,1250.0,0.0,0.0,25502 Kanasket Dr,Black Diamond,WA 98010,USA,416.6666666666667,1.9936204146730463
234,503000.0,3.0,2.75,1540.0,6760,1.0,0.0,0.0,5.0,1210.0,330.0,0.0,9626 NE 129th Pl,Kirkland,WA 98034,USA,513.3333333333334,2.456140350877193
235,275000.0,3.0,2.5,1600.0,7000,2.0,0.0,0.0,4.0,1600.0,0.0,0.0,21326 SE 277th Pl,Maple Valley,WA 98038,USA,533.3333333333334,2.5518341307814993
236,249000.0,3.0,1.0,1110.0,8423,1.0,0.0,0.0,3.0,1110.0,0.0,2008.0,14613 6th Ave SW,Burien,WA 98166,USA,370.0,1.770334928229665
237,310000.0,3.0,1.75,1840.0,10723,1.0,0.0,0.0,4.0,1220.0,620.0,0.0,19313 140th Pl SE,Renton,WA 98058,USA,613.3333333333334,2.934609250398724
238,750000.0,3.0,2.75,2520.0,5401,1.0,0.0,0.0,4.0,1360.0,1160.0,1989.0,2806 13th Ave W,Seattle,WA 98119,USA,840.0,4.019138755980861
239,630000.0,3.0,2.5,2680.0,327135,2.0,0.0,0.0,3.0,2680.0,0.0,0.0,25339 SE 248th St,Ravensdale,WA 98051,USA,893.3333333333334,4.274322169059011
240,599999.0,9.0,4.5,3830.0,6988,2.5,0.0,0.0,3.0,2450.0,1380.0,2003.0,8809 Densmore Ave N,Seattle,WA 98103,USA,425.55555555555554,6.108452950558214
241,758000.0,4.0,2.75,2410.0,9549,1.0,0.0,0.0,4.0,1780.0,630.0,0.0,10627 NE 45th St,Kirkland,WA 98033,USA,602.5,3.843700159489633
242,248500.0,4.0,1.75,1720.0,10018,1.0,0.0,0.0,5.0,1720.0,0.0,0.0,16635 SE 268th St,Covington,WA 98042,USA,430.0,2.7432216905901115
243,310000.0,3.0,1.75,2070.0,37904,1.0,0.0,0.0,4.0,1420.0,650.0,0.0,19654 116th Ave SE,Kent,WA 98031,USA,690.0,3.3014354066985647
244,460000.0,3.0,2.0,1760.0,9055,2.0,0.0,0.0,4.0,1760.0,0.0,0.0,5003 159th Ct NE,Redmond,WA 98052,USA,586.6666666666666,2.807017543859649
245,675000.0,3.0,1.75,1680.0,10500,1.0,0.0,0.0,4.0,1680.0,0.0,0.0,4 128th Ave SE,Bellevue,WA 98005,USA,560.0,2.6794258373205744
246,526000.0,2.0,2.0,1550.0,2400,1.5,0.0,0.0,4.0,1550.0,0.0,1971.0,3845 Whitman Ave N,Seattle,WA 98103,USA,775.0,2.4720893141945774
247,560000.0,3.0,3.0,4120.0,60392,2.0,0.0,2.0,3.0,3180.0,940.0,0.0,32223 NE 88th St,Carnation,WA 98014,USA,1373.3333333333333,6.570972886762361
270,630000.0,2.0,2.25,2550.0,5663,1.0,0.0,0.0,3.0,1720.0,830.0,0.0,1225 N 41st Pl,Renton,WA 98056,USA,1275.0,4.0669856459330145
271,900000.0,5.0,3.75,4130.0,226076,2.0,0.0,0.0,3.0,3170.0,960.0,0.0,12809-12907 206th Ave NE,Woodinville,WA 98077,USA,826.0,6.586921850079745
272,1110000.0,4.0,1.5,2310.0,13300,1.0,0.0,0.0,3.0,1890.0,420.0,2005.0,9724 NE 14th St,Clyde Hill,WA 98004,USA,577.5,3.6842105263157894
273,575000.0,4.0,2.0,1650.0,5000,1.0,0.0,0.0,3.0,1650.0,0.0,2005.0,6708 14th Ave NW,Seattle,WA 98117,USA,412.5,2.6315789473684212
274,705000.0,4.0,2.5,2650.0,4316,1.5,0.0,0.0,3.0,1520.0,1130.0,2013.0,1902 45th Ave SW,Seattle,WA 98116,USA,662.5,4.226475279106858
275,940000.0,4.0,2.25,1890.0,5940,1.0,0.0,1.0,3.0,1470.0,420.0,2008.0,1234 22nd Ave E,Seattle,WA 98112,USA,472.5,3.014354066985646
277,618080.0,3.0,2.5,2030.0,6500,2.0,0.0,0.0,3.0,2030.0,0.0,2000.0,4421-4564 186th Ave SE,Issaquah,WA 98027,USA,676.6666666666666,3.237639553429027
278,640000.0,3.0,3.0,2270.0,5175,2.0,0.0,0.0,3.0,2130.0,140.0,0.0,1200 N 27th Pl,Renton,WA 98056,USA,756.6666666666666,3.620414673046252
279,485000.0,3.0,2.0,1610.0,4160,1.0,0.0,0.0,4.0,1010.0,600.0,0.0,4313 SW Willow St,Seattle,WA 98136,USA,536.6666666666666,2.5677830940988837
280,300000.0,2.0,1.0,760.0,3001,1.0,0.0,0.0,3.0,760.0,0.0,1983.0,1761 17th Ave S,Seattle,WA 98144,USA,380.0,1.2121212121212122
281,379500.0,2.0,1.0,1640.0,17335,1.0,0.0,0.0,3.0,840.0,800.0,0.0,3301-3389 289th Ave NE,Redmond,WA 98053,USA,820.0,2.615629984051037
282,339950.0,3.0,2.25,1630.0,12295,2.0,0.0,0.0,4.0,1630.0,0.0,0.0,19501 135th Ave SE,Renton,WA 98058,USA,543.3333333333334,2.5996810207336525
283,1500000.0,6.0,2.5,3560.0,6480,2.5,0.0,0.0,4.0,3560.0,0.0,1945.0,903 22nd Ave E,Seattle,WA 98112,USA,593.3333333333334,5.6778309409888355
284,1340000.0,3.0,3.0,2960.0,5500,2.0,0.0,2.0,3.0,2440.0,520.0,1990.0,3529 W Howe St,Seattle,WA 98199,USA,986.6666666666666,4.720893141945774
285,500000.0,3.0,2.5,1940.0,37565,1.0,0.0,0.0,4.0,1940.0,0.0,0.0,20821 SE 135th St,Issaquah,WA 98027,USA,646.6666666666666,3.094098883572568
286,239900.0,3.0,2.0,1410.0,7566,1.0,0.0,0.0,3.0,1410.0,0.0,0.0,11907 SE 261st Pl,Kent,WA 98030,USA,470.0,2.248803827751196
287,314950.0,3.0,1.0,1040.0,16986,1.0,0.0,0.0,4.0,1040.0,0.0,0.0,18227 SE 135th St,Renton,WA 98059,USA,346.6666666666667,1.6586921850079746
288,361280.0,2.0,1.0,820.0,6400,1.0,0.0,0.0,4.0,820.0,0.0,0.0,5902 37th Ave SW,Seattle,WA 98126,USA,410.0,1.3078149920255184
289,100000.0,2.0,1.0,910.0,22000,1.0,0.0,0.0,3.0,910.0,0.0,2001.0,138 Seattle Blvd S,Algona,WA 98001,USA,455.0,1.4513556618819776
290,540000.0,7.0,5.75,3700.0,7647,2.0,0.0,1.0,3.0,3700.0,0.0,1984.0,15007-15299 37th Ave NE,Lake Forest Park,WA 98155,USA,528.5714285714286,5.901116427432217
291,480500.0,4.0,2.5,2180.0,11200,1.0,0.0,0.0,4.0,2180.0,0.0,0.0,18911 NE 165th Pl,Woodinville,WA 98072,USA,545.0,3.4768740031897925
292,280000.0,3.0,2.5,1600.0,4271,2.0,0.0,0.0,3.0,1600.0,0.0,0.0,5146 S 303rd Pl,Auburn,WA 98001,USA,533.3333333333334,2.5518341307814993
293,440000.0,3.0,1.75,1500.0,6180,1.0,0.0,0.0,4.0,1060.0,440.0,1988.0,3827 39th Ave S,Seattle,WA 98118,USA,500.0,2.3923444976076556
294,530000.0,3.0,1.0,1340.0,4284,1.0,0.0,0.0,3.0,1080.0,260.0,2006.0,4703-4707 4th Ave NE,Seattle,WA 98105,USA,446.6666666666667,2.1371610845295055
295,560000.0,3.0,2.0,1860.0,13374,1.0,0.0,0.0,3.0,1860.0,0.0,0.0,1010 NW Inneswood Dr,Issaquah,WA 98027,USA,620.0,2.9665071770334928
296,775000.0,3.0,2.0,2540.0,7200,1.5,0.0,3.0,4.0,1600.0,940.0,0.0,517 32nd Ave S,Seattle,WA 98144,USA,846.6666666666666,4.05103668261563
297,160000.0,2.0,1.0,1040.0,13100,1.0,0.0,0.0,5.0,1040.0,0.0,0.0,733 1st Ave N,Kent,WA 98032,USA,520.0,1.6586921850079746
298,209950.0,3.0,1.5,1380.0,11130,1.0,0.0,0.0,3.0,1380.0,0.0,2012.0,32016 8th Ave S,Federal Way,WA 98003,USA,460.0,2.200956937799043
300,380000.0,5.0,1.75,3000.0,6000,1.0,0.0,0.0,5.0,1500.0,1500.0,0.0,8514 S 124th St,Seattle,WA 98178,USA,600.0,4.784688995215311
301,409500.0,4.0,2.75,2140.0,13000,1.0,0.0,0.0,3.0,1320.0,820.0,1997.0,19302 65th Pl NE,Kenmore,WA 98028,USA,535.0,3.4130781499202554
302,690000.0,3.0,2.0,1760.0,6428,1.0,0.0,0.0,4.0,980.0,780.0,1982.0,2145 Condon Way W,Seattle,WA 98199,USA,586.6666666666666,2.807017543859649
303,405000.0,3.0,2.25,1660.0,8307,1.0,0.0,0.0,4.0,1660.0,0.0,2001.0,605 N 178th St,Shoreline,WA 98133,USA,553.3333333333334,2.6475279106858056
304,375000.0,3.0,2.5,1830.0,13042,2.0,0.0,0.0,3.0,1830.0,0.0,2009.0,25408 Lake Wilderness Country Club Dr SE,Maple Valley,WA 98038,USA,610.0,2.9186602870813396
305,794154.0,4.0,2.0,2210.0,8556,1.0,0.0,1.0,4.0,1210.0,1000.0,1979.0,3235 30th Ave W,Seattle,WA 98199,USA,552.5,3.5247208931419456
306,185000.0,4.0,1.0,1490.0,6600,1.0,0.0,0.0,3.0,1490.0,0.0,2010.0,13248 Occidental Ave S,Burien,WA 98168,USA,372.5,2.376395534290271
307,245000.0,3.0,1.5,1260.0,1270,2.0,0.0,0.0,3.0,1040.0,220.0,0.0,11304 Corliss Ave N,Seattle,WA 98133,USA,420.0,2.0095693779904304
308,1532500.0,5.0,4.5,4270.0,8076,2.0,0.0,0.0,3.0,3400.0,870.0,0.0,11017 101st Pl NE,Kirkland,WA 98033,USA,854.0,6.810207336523126
309,1040000.0,4.0,3.5,3900.0,8391,2.0,0.0,0.0,3.0,3900.0,0.0,0.0,10908 101st Pl NE,Kirkland,WA 98033,USA,975.0,6.220095693779904
310,425000.0,2.0,2.5,1150.0,1027,3.0,0.0,0.0,3.0,1150.0,0.0,0.0,3631 Greenwood Ave N,Seattle,WA 98103,USA,575.0,1.8341307814992025
311,495000.0,4.0,2.75,2656.0,21195,2.0,0.0,0.0,3.0,2656.0,0.0,0.0,31898 50th Pl S,Auburn,WA 98001,USA,664.0,4.236044657097288
312,365000.0,5.0,2.75,2410.0,5003,1.0,0.0,0.0,3.0,1410.0,1000.0,0.0,7956 46th Ave S,Seattle,WA 98118,USA,482.0,3.843700159489633
313,417250.0,3.0,2.25,1606.0,1452,3.0,0.0,0.0,3.0,1606.0,0.0,0.0,12303 Sand Point Way NE,Seattle,WA 98125,USA,535.3333333333334,2.56140350877193
314,339950.0,2.0,1.0,820.0,681,3.0,0.0,0.0,3.0,820.0,0.0,0.0,513 N 46th St,Seattle,WA 98103,USA,410.0,1.3078149920255184
315,615000.0,2.0,1.0,1540.0,6872,1.0,0.0,0.0,4.0,820.0,720.0,1989.0,2814 13th Ave W,Seattle,WA 98119,USA,770.0,2.456140350877193
316,403000.0,3.0,2.75,2090.0,8354,2.0,0.0,0.0,3.0,2090.0,0.0,1912.0,27930 NE 147th Pl,Duvall,WA 98019,USA,696.6666666666666,3.3333333333333335
317,980000.0,5.0,2.5,3160.0,11470,1.0,0.0,0.0,4.0,1780.0,1380.0,0.0,7401 92nd Pl SE,Mercer Island,WA 98040,USA,632.0,5.039872408293461
318,258000.0,4.0,1.75,1730.0,8320,1.0,0.0,0.0,3.0,1230.0,500.0,2004.0,30633 21st Ave SW,Federal Way,WA 98023,USA,432.5,2.759170653907496
319,533000.0,3.0,1.0,1670.0,4080,1.0,0.0,0.0,3.0,1170.0,500.0,2011.0,544 NE 84th St,Seattle,WA 98115,USA,556.6666666666666,2.66347687400319
320,537500.0,4.0,2.5,2550.0,4630,2.0,0.0,0.0,3.0,2550.0,0.0,0.0,1825 251st Pl SE,Sammamish,WA 98075,USA,637.5,4.0669856459330145
321,830000.0,5.0,3.0,3040.0,9601,1.0,0.0,0.0,5.0,1970.0,1070.0,0.0,5200-5298 90th Ave SE,Mercer Island,WA 98040,USA,608.0,4.848484848484849
323,262000.0,4.0,2.5,2020.0,6236,2.0,0.0,0.0,3.0,2020.0,0.0,0.0,434 Pullman Ave,Algona,WA 98001,USA,505.0,3.221690590111643
324,753888.0,4.0,2.5,2660.0,5500,2.0,0.0,2.0,3.0,2660.0,0.0,0.0,1669 28th Ave NE,Issaquah,WA 98029,USA,665.0,4.242424242424242
325,134000.0,2.0,1.5,980.0,5000,2.0,0.0,0.0,3.0,980.0,0.0,2003.0,235 Thelma St,Skykomish,WA 98288,USA,490.0,1.5629984051036683
326,402000.0,3.0,2.5,1960.0,8000,1.0,0.0,0.0,4.0,1290.0,670.0,0.0,12207 NE 139th Pl,Kirkland,WA 98034,USA,653.3333333333334,3.1259968102073366
327,205000.0,2.0,1.0,720.0,5040,1.0,0.0,0.0,3.0,720.0,0.0,2005.0,8448 Delridge Way SW,Seattle,WA 98106,USA,360.0,1.1483253588516746
328,553650.0,2.0,2.5,1360.0,1349,2.0,0.0,0.0,3.0,1050.0,310.0,0.0,624 Lake Washington Blvd E,Seattle,WA 98112,USA,680.0,2.1690590111642742
329,559950.0,2.0,2.0,1870.0,4950,1.0,0.0,0.0,3.0,1870.0,0.0,0.0,23733 NE Salal Pl,Redmond,WA 98053,USA,935.0,2.982456140350877
330,260000.0,4.0,1.5,2130.0,8800,1.0,0.0,0.0,3.0,1100.0,1030.0,2003.0,24345 35th Pl S,Kent,WA 98032,USA,532.5,3.397129186602871
331,270000.0,4.0,2.5,1810.0,6509,2.0,0.0,0.0,3.0,1810.0,0.0,0.0,14816 SE 278th St,Kent,WA 98042,USA,452.5,2.886762360446571
332,295000.0,2.0,1.75,2200.0,89298,1.0,0.0,0.0,3.0,1100.0,1100.0,2013.0,27469-27501 SE 154th Pl,Issaquah,WA 98027,USA,1100.0,3.508771929824561
333,719000.0,3.0,2.5,1690.0,4500,1.5,0.0,1.0,4.0,1690.0,0.0,0.0,4022 SW Walker St,Seattle,WA 98116,USA,563.3333333333334,2.6953748006379583
334,266000.0,3.0,2.5,1940.0,8547,1.0,0.0,0.0,3.0,1460.0,480.0,0.0,28123 123rd Pl SE,Kent,WA 98030,USA,646.6666666666666,3.094098883572568
335,325900.0,4.0,2.5,2320.0,6270,2.0,0.0,0.0,3.0,2320.0,0.0,2003.0,15020 SE 281st St,Kent,WA 98042,USA,580.0,3.7001594896331738
336,647500.0,4.0,1.75,2060.0,26036,1.0,0.0,0.0,4.0,1160.0,900.0,1988.0,17622 12th Ave SW,Normandy Park,WA 98166,USA,515.0,3.2854864433811803
337,1039000.0,4.0,1.0,3410.0,5000,2.0,0.0,0.0,5.0,2190.0,1220.0,0.0,2509 33rd Ave S,Seattle,WA 98144,USA,852.5,5.43859649122807
338,569000.0,4.0,2.25,2250.0,41688,2.0,0.0,0.0,3.0,2250.0,0.0,0.0,7304 217th Pl NE,Redmond,WA 98053,USA,562.5,3.588516746411483
339,246000.0,3.0,1.75,1390.0,7399,1.0,0.0,0.0,4.0,1390.0,0.0,0.0,11921 SE 205th St,Kent,WA 98031,USA,463.3333333333333,2.2169059011164274
