,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,a,b,c,damormertebe
184,563000.0,4.0,3.0,3100.0,15480,2.0,0.0,0.0,3.0,2400.0,700.0,1996.0,0.0,7422 NE 163rd St,Kenmore,WA 98028,USA,2.0,True,standard house,mertebe
185,612500.0,4.0,2.0,2060.0,5000,1.0,0.0,0.0,3.0,1030.0,1030.0,1949.0,2013.0,1708 NW 96th St,Seattle,WA 98117,USA,2.0,True,standard house,mertebe
186,218000.0,3.0,1.75,1850.0,7684,1.0,0.0,0.0,3.0,1320.0,530.0,1979.0,2014.0,33945 28th Pl SW,Federal Way,WA 98023,USA,1.5,True,small house,mertebe
187,404000.0,4.0,1.75,1840.0,10720,1.0,0.0,0.0,3.0,960.0,880.0,1958.0,2004.0,16020 SE 2nd St,Bellevue,WA 98008,USA,2.0,True,standard house,mertebe
188,860000.0,4.0,2.0,3740.0,32417,2.0,0.0,0.0,3.0,3740.0,0.0,2000.0,0.0,24507 NE 77th Pl,Redmond,WA 98053,USA,2.0,True,standard house,mertebe
189,136500.0,3.0,1.5,1420.0,8580,1.0,0.0,0.0,3.0,1420.0,0.0,1962.0,2003.0,32827 22nd Ave SW,Federal Way,WA 98023,USA,1.5,True,small house,mertebe
190,313950.0,3.0,1.0,1510.0,6083,1.0,0.0,0.0,4.0,860.0,650.0,1940.0,2001.0,415 NE 94th St,Seattle,WA 98115,USA,1.5,True,small house,mertebe
191,575000.0,3.0,1.75,2130.0,6500,1.0,0.0,2.0,3.0,1170.0,960.0,1954.0,2005.0,2214 W Halladay St,Seattle,WA 98199,USA,1.5,True,small house,mertebe
192,1225000.0,4.0,2.25,3490.0,6906,2.0,0.0,0.0,4.0,2280.0,1210.0,1928.0,0.0,2560 39th Ave W,Seattle,WA 98199,USA,2.0,True,standard house,mertebe
193,280000.0,3.0,1.75,1630.0,11800,1.0,0.0,0.0,4.0,1630.0,0.0,1971.0,0.0,12525 458th Ave SE,North Bend,WA 98045,USA,1.5,True,small house,mertebe
194,515000.0,3.0,2.5,1790.0,7167,2.0,0.0,0.0,3.0,1790.0,0.0,1989.0,0.0,920 221st Ave NE,Sammamish,WA 98074,USA,1.5,True,small house,mertebe
195,513000.0,4.0,2.5,2000.0,5684,2.0,0.0,0.0,3.0,2000.0,0.0,1996.0,0.0,9041 NE 160th Pl,Kenmore,WA 98028,USA,2.0,True,standard house,mertebe
196,599000.0,4.0,2.25,2260.0,29930,2.0,0.0,0.0,4.0,1400.0,860.0,1977.0,0.0,16022 SE 43rd St,Bellevue,WA 98006,USA,2.0,True,standard house,mertebe
197,685000.0,4.0,2.5,3030.0,7864,2.0,0.0,0.0,3.0,3030.0,0.0,1999.0,0.0,24201 SE 1st Pl,Sammamish,WA 98074,USA,2.0,True,standard house,mertebe
198,365000.0,3.0,1.5,1310.0,8160,1.0,0.0,0.0,3.0,1310.0,0.0,1950.0,2005.0,13714 Ashworth Ave N,Seattle,WA 98133,USA,1.5,True,small house,mertebe
199,762300.0,4.0,2.5,3880.0,14550,2.0,0.0,0.0,3.0,3880.0,0.0,1987.0,2000.0,22344 NE 31st St,Sammamish,WA 98074,USA,2.0,True,standard house,mertebe
200,1580000.0,4.0,3.25,3760.0,10920,1.5,0.0,0.0,5.0,2400.0,1360.0,1950.0,0.0,5650 NE 55th St,Seattle,WA 98105,USA,2.0,True,standard house,dam
201,562000.0,5.0,2.25,3040.0,8111,2.0,0.0,0.0,3.0,3040.0,0.0,1984.0,0.0,17649 NE 129th Pl,Redmond,WA 98052,USA,2.5,True,standard house,mertebe
202,530000.0,5.0,2.5,2910.0,9636,1.0,0.0,0.0,4.0,1690.0,1220.0,1964.0,0.0,3250 165th Ave SE,Bellevue,WA 98008,USA,2.5,True,standard house,mertebe
218,499000.0,2.0,1.75,1170.0,2400,1.0,0.0,0.0,4.0,740.0,430.0,1903.0,0.0,2112 N 50th St,Seattle,WA 98103,USA,1.0,False,small house,mertebe
219,1050000.0,3.0,2.5,2200.0,1970,2.0,0.0,0.0,3.0,1610.0,590.0,2008.0,0.0,2516 Yale Ave E,Seattle,WA 98102,USA,1.5,True,small house,mertebe
220,191000.0,3.0,1.5,800.0,8850,1.0,0.0,0.0,4.0,800.0,0.0,1959.0,0.0,1003 SW 307th St,Federal Way,WA 98023,USA,1.5,True,small house,mertebe
221,500000.0,3.0,2.5,1480.0,1171,3.0,0.0,0.0,3.0,1480.0,0.0,2006.0,0.0,135 25th Ave E,Seattle,WA 98112,USA,1.5,True,small house,mertebe
222,390000.0,5.0,3.75,2890.0,5000,1.0,0.0,0.0,3.0,1310.0,1580.0,2006.0,0.0,3665 Renton Ave S,Seattle,WA 98144,USA,2.5,True,standard house,mertebe
223,979000.0,3.0,2.5,2690.0,4047,3.0,0.0,0.0,3.0,2690.0,0.0,2014.0,0.0,7000 23rd Ave NW,Seattle,WA 98117,USA,1.5,True,small house,mertebe
224,580000.0,4.0,3.25,3569.0,8327,2.0,0.0,0.0,3.0,3569.0,0.0,2013.0,1923.0,710 S 23rd St,Renton,WA 98055,USA,2.0,True,standard house,mertebe
225,369950.0,3.0,2.0,1270.0,1320,3.0,0.0,0.0,3.0,1270.0,0.0,2006.0,0.0,8846 Midvale Ave N,Seattle,WA 98103,USA,1.5,True,small house,mertebe
226,1800000.0,5.0,5.0,4490.0,10279,2.0,0.0,0.0,3.0,3930.0,560.0,2013.0,1923.0,1435 104th Ave SE,Bellevue,WA 98004,USA,2.5,True,standard house,mertebe
227,776000.0,4.0,2.5,3040.0,6425,2.0,0.0,0.0,3.0,3040.0,0.0,2008.0,0.0,16775 NE 86th Ct,Redmond,WA 98052,USA,2.0,True,standard house,mertebe
228,519950.0,3.0,2.25,1170.0,1249,3.0,0.0,0.0,3.0,1170.0,0.0,2014.0,0.0,1749 NW 60th St,Seattle,WA 98107,USA,1.5,True,small house,mertebe
229,255000.0,5.0,2.25,2060.0,8632,1.0,0.0,0.0,3.0,1030.0,1030.0,1962.0,2003.0,105 SW 129th St,Burien,WA 98146,USA,2.5,True,standard house,mertebe
230,495000.0,3.0,1.0,990.0,6000,1.0,0.0,0.0,3.0,990.0,0.0,1943.0,2002.0,5628 NE 59th St,Seattle,WA 98105,USA,1.5,True,small house,mertebe
231,510000.0,4.0,2.5,2430.0,5203,2.0,0.0,0.0,3.0,2430.0,0.0,2003.0,0.0,1028 NE 153rd Ct,Shoreline,WA 98155,USA,2.0,True,standard house,mertebe
232,1150000.0,4.0,4.0,4460.0,103382,2.0,0.0,0.0,3.0,4460.0,0.0,2001.0,0.0,25823 NE 30th Ct,Redmond,WA 98053,USA,2.0,True,standard house,mertebe
233,253000.0,3.0,1.75,1250.0,10122,1.0,0.0,0.0,3.0,1250.0,0.0,1994.0,0.0,25502 Kanasket Dr,Black Diamond,WA 98010,USA,1.5,True,small house,mertebe
234,503000.0,3.0,2.75,1540.0,6760,1.0,0.0,0.0,5.0,1210.0,330.0,1980.0,0.0,9626 NE 129th Pl,Kirkland,WA 98034,USA,1.5,True,small house,mertebe
235,275000.0,3.0,2.5,1600.0,7000,2.0,0.0,0.0,4.0,1600.0,0.0,1993.0,0.0,21326 SE 277th Pl,Maple Valley,WA 98038,USA,1.5,True,small house,mertebe
236,249000.0,3.0,1.0,1110.0,8423,1.0,0.0,0.0,3.0,1110.0,0.0,1952.0,2008.0,14613 6th Ave SW,Burien,WA 98166,USA,1.5,True,small house,mertebe
237,310000.0,3.0,1.75,1840.0,10723,1.0,0.0,0.0,4.0,1220.0,620.0,1974.0,0.0,19313 140th Pl SE,Renton,WA 98058,USA,1.5,True,small house,mertebe
238,750000.0,3.0,2.75,2520.0,5401,1.0,0.0,0.0,4.0,1360.0,1160.0,1946.0,1989.0,2806 13th Ave W,Seattle,WA 98119,USA,1.5,True,small house,mertebe
239,630000.0,3.0,2.5,2680.0,327135,2.0,0.0,0.0,3.0,2680.0,0.0,1995.0,0.0,25339 SE 248th St,Ravensdale,WA 98051,USA,1.5,True,small house,mertebe
240,599999.0,9.0,4.5,3830.0,6988,2.5,0.0,0.0,3.0,2450.0,1380.0,1938.0,2003.0,8809 Densmore Ave N,Seattle,WA 98103,USA,4.5,True,very large house,dam
241,758000.0,4.0,2.75,2410.0,9549,1.0,0.0,0.0,4.0,1780.0,630.0,1956.0,0.0,10627 NE 45th St,Kirkland,WA 98033,USA,2.0,True,standard house,mertebe
242,248500.0,4.0,1.75,1720.0,10018,1.0,0.0,0.0,5.0,1720.0,0.0,1960.0,0.0,16635 SE 268th St,Covington,WA 98042,USA,2.0,True,standard house,mertebe
243,310000.0,3.0,1.75,2070.0,37904,1.0,0.0,0.0,4.0,1420.0,650.0,1973.0,0.0,19654 116th Ave SE,Kent,WA 98031,USA,1.5,True,small house,mertebe
244,460000.0,3.0,2.0,1760.0,9055,2.0,0.0,0.0,4.0,1760.0,0.0,1985.0,0.0,5003 159th Ct NE,Redmond,WA 98052,USA,1.5,True,small house,mertebe
245,675000.0,3.0,1.75,1680.0,10500,1.0,0.0,0.0,4.0,1680.0,0.0,1959.0,0.0,4 128th Ave SE,Bellevue,WA 98005,USA,1.5,True,small house,mertebe
246,526000.0,2.0,2.0,1550.0,2400,1.5,0.0,0.0,4.0,1550.0,0.0,1900.0,1971.0,3845 Whitman Ave N,Seattle,WA 98103,USA,1.0,False,small house,dam
247,560000.0,3.0,3.0,4120.0,60392,2.0,0.0,2.0,3.0,3180.0,940.0,1994.0,0.0,32223 NE 88th St,Carnation,WA 98014,USA,1.5,True,small house,mertebe
270,630000.0,2.0,2.25,2550.0,5663,1.0,0.0,0.0,3.0,1720.0,830.0,2011.0,0.0,1225 N 41st Pl,Renton,WA 98056,USA,1.0,False,small house,mertebe
271,900000.0,5.0,3.75,4130.0,226076,2.0,0.0,0.0,3.0,3170.0,960.0,1985.0,0.0,12809-12907 206th Ave NE,Woodinville,WA 98077,USA,2.5,True,standard house,mertebe
272,1110000.0,4.0,1.5,2310.0,13300,1.0,0.0,0.0,3.0,1890.0,420.0,1950.0,2005.0,9724 NE 14th St,Clyde Hill,WA 98004,USA,2.0,True,standard house,mertebe
273,575000.0,4.0,2.0,1650.0,5000,1.0,0.0,0.0,3.0,1650.0,0.0,1955.0,2005.0,6708 14th Ave NW,Seattle,WA 98117,USA,2.0,True,standard house,mertebe
274,705000.0,4.0,2.5,2650.0,4316,1.5,0.0,0.0,3.0,1520.0,1130.0,1905.0,2013.0,1902 45th Ave SW,Seattle,WA 98116,USA,2.0,True,standard house,dam
275,940000.0,4.0,2.25,1890.0,5940,1.0,0.0,1.0,3.0,1470.0,420.0,1963.0,2008.0,1234 22nd Ave E,Seattle,WA 98112,USA,2.0,True,standard house,mertebe
277,618080.0,3.0,2.5,2030.0,6500,2.0,0.0,0.0,3.0,2030.0,0.0,1988.0,2000.0,4421-4564 186th Ave SE,Issaquah,WA 98027,USA,1.5,True,small house,mertebe
278,640000.0,3.0,3.0,2270.0,5175,2.0,0.0,0.0,3.0,2130.0,140.0,2002.0,0.0,1200 N 27th Pl,Renton,WA 98056,USA,1.5,True,small house,mertebe
279,485000.0,3.0,2.0,1610.0,4160,1.0,0.0,0.0,4.0,1010.0,600.0,1917.0,0.0,4313 SW Willow St,Seattle,WA 98136,USA,1.5,True,small house,mertebe
280,300000.0,2.0,1.0,760.0,3001,1.0,0.0,0.0,3.0,760.0,0.0,1913.0,1983.0,1761 17th Ave S,Seattle,WA 98144,USA,1.0,False,small house,mertebe
281,379500.0,2.0,1.0,1640.0,17335,1.0,0.0,0.0,3.0,840.0,800.0,1978.0,0.0,3301-3389 289th Ave NE,Redmond,WA 98053,USA,1.0,False,small house,mertebe
282,339950.0,3.0,2.25,1630.0,12295,2.0,0.0,0.0,4.0,1630.0,0.0,1985.0,0.0,19501 135th Ave SE,Renton,WA 98058,USA,1.5,True,small house,mertebe
283,1500000.0,6.0,2.5,3560.0,6480,2.5,0.0,0.0,4.0,3560.0,0.0,1914.0,1945.0,903 22nd Ave E,Seattle,WA 98112,USA,3.0,True,large house,dam
284,1340000.0,3.0,3.0,2960.0,5500,2.0,0.0,2.0,3.0,2440.0,520.0,1937.0,1990.0,3529 W Howe St,Seattle,WA 98199,USA,1.5,True,small house,mertebe
285,500000.0,3.0,2.5,1940.0,37565,1.0,0.0,0.0,4.0,1940.0,0.0,1987.0,0.0,20821 SE 135th St,Issaquah,WA 98027,USA,1.5,True,small house,mertebe
286,239900.0,3.0,2.0,1410.0,7566,1.0,0.0,0.0,3.0,1410.0,0.0,1985.0,0.0,11907 SE 261st Pl,Kent,WA 98030,USA,1.5,True,small house,mertebe
287,314950.0,3.0,1.0,1040.0,16986,1.0,0.0,0.0,4.0,1040.0,0.0,1968.0,0.0,18227 SE 135th St,Renton,WA 98059,USA,1.5,True,small house,mertebe
288,361280.0,2.0,1.0,820.0,6400,1.0,0.0,0.0,4.0,820.0,0.0,1944.0,0.0,5902 37th Ave SW,Seattle,WA 98126,USA,1.0,False,small house,mertebe
289,100000.0,2.0,1.0,910.0,22000,1.0,0.0,0.0,3.0,910.0,0.0,1956.0,2001.0,138 Seattle Blvd S,Algona,WA 98001,USA,1.0,False,small house,mertebe
290,540000.0,7.0,5.75,3700.0,7647,2.0,0.0,1.0,3.0,3700.0,0.0,1948.0,1984.0,15007-15299 37th Ave NE,Lake Forest Park,WA 98155,USA,3.5,True,large house,mertebe
291,480500.0,4.0,2.5,2180.0,11200,1.0,0.0,0.0,4.0,2180.0,0.0,1968.0,0.0,18911 NE 165th Pl,Woodinville,WA 98072,USA,2.0,True,standard house,mertebe
292,280000.0,3.0,2.5,1600.0,4271,2.0,0.0,0.0,3.0,1600.0,0.0,2000.0,0.0,5146 S 303rd Pl,Auburn,WA 98001,USA,1.5,True,small house,mertebe
293,440000.0,3.0,1.75,1500.0,6180,1.0,0.0,0.0,4.0,1060.0,440.0,1947.0,1988.0,3827 39th Ave S,Seattle,WA 98118,USA,1.5,True,small house,mertebe
294,530000.0,3.0,1.0,1340.0,4284,1.0,0.0,0.0,3.0,1080.0,260.0,1910.0,2006.0,4703-4707 4th Ave NE,Seattle,WA 98105,USA,1.5,True,small house,mertebe
295,560000.0,3.0,2.0,1860.0,13374,1.0,0.0,0.0,3.0,1860.0,0.0,1985.0,0.0,1010 NW Inneswood Dr,Issaquah,WA 98027,USA,1.5,True,small house,mertebe
296,775000.0,3.0,2.0,2540.0,7200,1.5,0.0,3.0,4.0,1600.0,940.0,1905.0,0.0,517 32nd Ave S,Seattle,WA 98144,USA,1.5,True,small house,dam
297,160000.0,2.0,1.0,1040.0,13100,1.0,0.0,0.0,5.0,1040.0,0.0,1912.0,0.0,733 1st Ave N,Kent,WA 98032,USA,1.0,False,small house,mertebe
298,209950.0,3.0,1.5,1380.0,11130,1.0,0.0,0.0,3.0,1380.0,0.0,1960.0,2012.0,32016 8th Ave S,Federal Way,WA 98003,USA,1.5,True,small house,mertebe
300,380000.0,5.0,1.75,3000.0,6000,1.0,0.0,0.0,5.0,1500.0,1500.0,1958.0,0.0,8514 S 124th St,Seattle,WA 98178,USA,2.5,True,standard house,mertebe
301,409500.0,4.0,2.75,2140.0,13000,1.0,0.0,0.0,3.0,1320.0,820.0,1968.0,1997.0,19302 65th Pl NE,Kenmore,WA 98028,USA,2.0,True,standard house,mertebe
302,690000.0,3.0,2.0,1760.0,6428,1.0,0.0,0.0,4.0,980.0,780.0,1942.0,1982.0,2145 Condon Way W,Seattle,WA 98199,USA,1.5,True,small house,mertebe
303,405000.0,3.0,2.25,1660.0,8307,1.0,0.0,0.0,4.0,1660.0,0.0,1961.0,2001.0,605 N 178th St,Shoreline,WA 98133,USA,1.5,True,small house,mertebe
304,375000.0,3.0,2.5,1830.0,13042,2.0,0.0,0.0,3.0,1830.0,0.0,1990.0,2009.0,25408 Lake Wilderness Country Club Dr SE,Maple Valley,WA 98038,USA,1.5,True,small house,mertebe
305,794154.0,4.0,2.0,2210.0,8556,1.0,0.0,1.0,4.0,1210.0,1000.0,1954.0,1979.0,3235 30th Ave W,Seattle,WA 98199,USA,2.0,True,standard house,mertebe
306,185000.0,4.0,1.0,1490.0,6600,1.0,0.0,0.0,3.0,1490.0,0.0,1969.0,2010.0,13248 Occidental Ave S,Burien,WA 98168,USA,2.0,True,standard house,mertebe
307,245000.0,3.0,1.5,1260.0,1270,2.0,0.0,0.0,3.0,1040.0,220.0,2005.0,0.0,11304 Corliss Ave N,Seattle,WA 98133,USA,1.5,True,small house,mertebe
308,1532500.0,5.0,4.5,4270.0,8076,2.0,0.0,0.0,3.0,3400.0,870.0,2007.0,0.0,11017 101st Pl NE,Kirkland,WA 98033,USA,2.5,True,standard house,mertebe
309,1040000.0,4.0,3.5,3900.0,8391,2.0,0.0,0.0,3.0,3900.0,0.0,2006.0,0.0,10908 101st Pl NE,Kirkland,WA 98033,USA,2.0,True,standard house,mertebe
310,425000.0,2.0,2.5,1150.0,1027,3.0,0.0,0.0,3.0,1150.0,0.0,2008.0,0.0,3631 Greenwood Ave N,Seattle,WA 98103,USA,1.0,False,small house,mertebe
311,495000.0,4.0,2.75,2656.0,21195,2.0,0.0,0.0,3.0,2656.0,0.0,2014.0,0.0,31898 50th Pl S,Auburn,WA 98001,USA,2.0,True,standard house,mertebe
312,365000.0,5.0,2.75,2410.0,5003,1.0,0.0,0.0,3.0,1410.0,1000.0,2008.0,0.0,7956 46th Ave S,Seattle,WA 98118,USA,2.5,True,standard house,mertebe
313,417250.0,3.0,2.25,1606.0,1452,3.0,0.0,0.0,3.0,1606.0,0.0,2009.0,0.0,12303 Sand Point Way NE,Seattle,WA 98125,USA,1.5,True,small house,mertebe
314,339950.0,2.0,1.0,820.0,681,3.0,0.0,0.0,3.0,820.0,0.0,2006.0,0.0,513 N 46th St,Seattle,WA 98103,USA,1.0,False,small house,mertebe
315,615000.0,2.0,1.0,1540.0,6872,1.0,0.0,0.0,4.0,820.0,720.0,1946.0,1989.0,2814 13th Ave W,Seattle,WA 98119,USA,1.0,False,small house,mertebe
316,403000.0,3.0,2.75,2090.0,8354,2.0,0.0,0.0,3.0,2090.0,0.0,2012.0,1912.0,27930 NE 147th Pl,Duvall,WA 98019,USA,1.5,True,small house,mertebe
317,980000.0,5.0,2.5,3160.0,11470,1.0,0.0,0.0,4.0,1780.0,1380.0,1971.0,0.0,7401 92nd Pl SE,Mercer Island,WA 98040,USA,2.5,True,standard house,mertebe
318,258000.0,4.0,1.75,1730.0,8320,1.0,0.0,0.0,3.0,1230.0,500.0,1977.0,2004.0,30633 21st Ave SW,Federal Way,WA 98023,USA,2.0,True,standard house,mertebe
319,533000.0,3.0,1.0,1670.0,4080,1.0,0.0,0.0,3.0,1170.0,500.0,1967.0,2011.0,544 NE 84th St,Seattle,WA 98115,USA,1.5,True,small house,mertebe
320,537500.0,4.0,2.5,2550.0,4630,2.0,0.0,0.0,3.0,2550.0,0.0,2005.0,0.0,1825 251st Pl SE,Sammamish,WA 98075,USA,2.0,True,standard house,mertebe
321,830000.0,5.0,3.0,3040.0,9601,1.0,0.0,0.0,5.0,1970.0,1070.0,1968.0,0.0,5200-5298 90th Ave SE,Mercer Island,WA 98040,USA,2.5,True,standard house,mertebe
323,262000.0,4.0,2.5,2020.0,6236,2.0,0.0,0.0,3.0,2020.0,0.0,2002.0,0.0,434 Pullman Ave,Algona,WA 98001,USA,2.0,True,standard house,mertebe
324,753888.0,4.0,2.5,2660.0,5500,2.0,0.0,2.0,3.0,2660.0,0.0,2003.0,0.0,1669 28th Ave NE,Issaquah,WA 98029,USA,2.0,True,standard house,mertebe
325,134000.0,2.0,1.5,980.0,5000,2.0,0.0,0.0,3.0,980.0,0.0,1922.0,2003.0,235 Thelma St,Skykomish,WA 98288,USA,1.0,False,small house,mertebe
326,402000.0,3.0,2.5,1960.0,8000,1.0,0.0,0.0,4.0,1290.0,670.0,1977.0,0.0,12207 NE 139th Pl,Kirkland,WA 98034,USA,1.5,True,small house,mertebe
327,205000.0,2.0,1.0,720.0,5040,1.0,0.0,0.0,3.0,720.0,0.0,1955.0,2005.0,8448 Delridge Way SW,Seattle,WA 98106,USA,1.0,False,small house,mertebe
328,553650.0,2.0,2.5,1360.0,1349,2.0,0.0,0.0,3.0,1050.0,310.0,1997.0,0.0,624 Lake Washington Blvd E,Seattle,WA 98112,USA,1.0,False,small house,mertebe
329,559950.0,2.0,2.0,1870.0,4950,1.0,0.0,0.0,3.0,1870.0,0.0,2006.0,0.0,23733 NE Salal Pl,Redmond,WA 98053,USA,1.0,False,small house,mertebe
330,260000.0,4.0,1.5,2130.0,8800,1.0,0.0,0.0,3.0,1100.0,1030.0,1962.0,2003.0,24345 35th Pl S,Kent,WA 98032,USA,2.0,True,standard house,mertebe
331,270000.0,4.0,2.5,1810.0,6509,2.0,0.0,0.0,3.0,1810.0,0.0,1994.0,0.0,14816 SE 278th St,Kent,WA 98042,USA,2.0,True,standard house,mertebe
332,295000.0,2.0,1.75,2200.0,89298,1.0,0.0,0.0,3.0,1100.0,1100.0,1973.0,2013.0,27469-27501 SE 154th Pl,Issaquah,WA 98027,USA,1.0,False,small house,mertebe
333,719000.0,3.0,2.5,1690.0,4500,1.5,0.0,1.0,4.0,1690.0,0.0,1928.0,0.0,4022 SW Walker St,Seattle,WA 98116,USA,1.5,True,small house,dam
334,266000.0,3.0,2.5,1940.0,8547,1.0,0.0,0.0,3.0,1460.0,480.0,1989.0,0.0,28123 123rd Pl SE,Kent,WA 98030,USA,1.5,True,small house,mertebe
